,UM25C Excel,,,,,,
,,,,,2.999935598,<5,5
公司：杭州睿登科技,,表格数据,,,,,
Voltage-Current,,,,,,,
  Time （s）,  Voltage  (V),  Current  (A),,,,,
972,5.071,1.3543,6.8676553,3.867719702,,,
973,5.077,1.3528,6.8681656,3.868230002,,,
974,5.077,1.3504,6.8559808,3.856045202,,,
975,5.071,1.3504,6.8478784,3.847942802,,,
976,5.067,1.4319,7.2554373,4.255501702,,,
977,5.067,1.4582,7.3886994,4.388763802,,,
978,5.068,1.3712,6.9492416,3.949306002,,,
979,5.079,1.3712,6.9643248,3.964389202,,,
980,5.077,1.3313,6.7590101,3.759074502,,,
981,5.077,1.3528,6.8681656,3.868230002,,,
982,5.078,1.3526,6.8685028,3.868567202,,,
983,5.077,1.3553,6.8808581,3.880922502,,,
984,5.077,1.3553,6.8808581,3.880922502,,,
985,5.077,1.3651,6.9306127,3.930677102,,,
986,5.077,1.3529,6.8686733,3.868737702,,,
987,5.077,1.3512,6.8600424,3.860106802,,,
988,5.079,1.3512,6.8627448,3.862809202,,,
989,5.078,1.3498,6.8542844,3.854348802,,,
990,5.078,1.3495,6.852761,3.852825402,,,
991,5.078,1.3524,6.8674872,3.867551602,,,
992,5.078,1.352,6.865456,3.865520402,,,
993,5.076,1.352,6.862752,3.862816402,,,
994,5.077,1.3533,6.8707041,3.870768502,,,
995,5.077,1.3506,6.8569962,3.857060602,,,
996,5.077,1.349,6.848873,3.848937402,,,
997,5.078,1.349,6.850222,3.850286402,,,
998,5.078,1.3478,6.8441284,3.844192802,,,
999,5.078,1.3529,6.8700262,3.870090602,,,
1000,5.077,1.3496,6.8519192,3.851983602,,,
1001,5.077,1.3706,6.9585362,3.958600602,,,
1002,5.078,1.3706,6.9599068,3.959971202,,,
1003,5.077,1.3543,6.8757811,3.875845502,,,
1004,5.077,1.3677,6.9438129,3.943877302,,,
1005,5.078,1.3518,6.8644404,3.864504802,,,
1006,5.078,1.3518,6.8644404,3.864504802,,,
1007,5.078,1.3522,6.8664716,3.866536002,,,
1008,5.078,1.426,7.241228,4.241292402,,,
1009,5.068,1.4421,7.3085628,4.308627202,,,
1010,5.072,1.394,7.070368,4.070432402,,,
1011,5.077,1.394,7.077338,4.077402402,,,
1012,5.075,1.3602,6.903015,3.903079402,,,
1013,5.075,1.3488,6.84516,3.845224402,,,
1014,5.078,1.351,6.860378,3.860442402,,,
1015,5.076,1.351,6.857676,3.857740402,,,
1016,5.077,1.3598,6.9037046,3.903769002,,,
1017,5.077,1.3645,6.9275665,3.927630902,,,
1018,5.076,1.3539,6.8723964,3.872460802,,,
1019,5.077,1.3542,6.8752734,3.875337802,,,
1020,5.073,1.3542,6.8698566,3.869921002,,,
1021,5.071,1.4081,7.1404751,4.140539502,,,
1022,5.071,1.4093,7.1465603,4.146624702,,,
1023,5.066,1.3569,6.8740554,3.874119802,,,
1024,5.078,1.3569,6.8903382,3.890402602,,,
1025,5.077,1.3459,6.8331343,3.833198702,,,
1026,5.077,1.3514,6.8610578,3.861122202,,,
1027,5.077,1.3512,6.8600424,3.860106802,,,
1028,5.077,1.3516,6.8620732,3.862137602,,,
1029,5.076,1.3516,6.8607216,3.860786002,,,
1030,5.077,1.3502,6.8549654,3.855029802,,,
1031,5.077,1.3535,6.8717195,3.871783902,,,
1032,5.078,1.3538,6.8745964,3.874660802,,,
1033,5.079,1.3538,6.8759502,3.876014602,,,
1034,5.077,1.3488,6.8478576,3.847922002,,,
1035,5.077,1.359,6.899643,3.899707402,,,
1036,5.078,1.3484,6.8471752,3.847239602,,,
1037,5.077,1.3665,6.9377205,3.937784902,,,
1038,5.076,1.3665,6.936354,3.936418402,,,
1039,5.077,1.3666,6.9382282,3.938292602,,,
1040,5.077,1.3736,6.9737672,3.973831602,,,
1041,5.076,1.3608,6.9074208,3.907485202,,,
1042,5.077,1.3608,6.9087816,3.908846002,,,
1043,5.076,1.361,6.908436,3.908500402,,,
1044,5.076,1.3649,6.9282324,3.928296802,,,
1045,5.076,1.3659,6.9333084,3.933372802,,,
1046,5.076,1.3628,6.9175728,3.917637202,,,
1047,5.08,1.3628,6.923024,3.923088402,,,
1048,5.073,1.3604,6.9013092,3.901373602,,,
1049,5.073,1.3533,6.8652909,3.865355302,,,
1050,5.077,1.3616,6.9128432,3.912907602,,,
1051,5.076,1.3616,6.9114816,3.911546002,,,
1052,5.076,1.3619,6.9130044,3.913068802,,,
1053,5.076,1.3643,6.9251868,3.925251202,,,
1054,5.076,1.3584,6.8952384,3.895302802,,,
1055,5.075,1.3586,6.894895,3.894959402,,,
1056,5.076,1.3586,6.8962536,3.896318002,,,
1057,5.075,1.3818,7.012635,4.012699402,,,
1058,5.075,1.4239,7.2262925,4.226356902,,,
1059,5.071,1.4282,7.2424022,4.242466602,,,
1060,5.068,1.4282,7.2381176,4.238182002,,,
1061,5.077,1.3661,6.9356897,3.935754102,,,
1062,5.077,1.3164,6.6833628,3.683427202,,,
1063,5.077,1.3543,6.8757811,3.875845502,,,
1064,5.078,1.3543,6.8771354,3.877199802,,,
1065,5.077,1.3524,6.8661348,3.866199202,,,
1066,5.077,1.359,6.899643,3.899707402,,,
1067,5.077,1.3608,6.9087816,3.908846002,,,
1068,5.077,1.3581,6.8950737,3.895138102,,,
1069,5.077,1.3581,6.8950737,3.895138102,,,
1070,5.077,1.3579,6.8940583,3.894122702,,,
1071,5.077,1.3645,6.9275665,3.927630902,,,
1072,5.076,1.3602,6.9043752,3.904439602,,,
1073,5.077,1.3602,6.9057354,3.905799802,,,
1074,5.077,1.359,6.899643,3.899707402,,,
1075,5.077,1.3645,6.9275665,3.927630902,,,
1076,5.077,1.3716,6.9636132,3.963677602,,,
1077,5.077,1.3602,6.9057354,3.905799802,,,
1078,5.077,1.3602,6.9057354,3.905799802,,,
1079,5.076,1.3606,6.9064056,3.906470002,,,
1080,5.076,1.3604,6.9053904,3.905454802,,,
1081,5.077,1.3571,6.8899967,3.890061102,,,
1082,5.076,1.3571,6.8886396,3.888704002,,,
1083,5.077,1.3568,6.8884736,3.888538002,,,
1084,5.075,1.3598,6.900985,3.901049402,,,
