Time,Rep1,Rep2,Rep3
1,1.107257067,1.235197667,1.245575667
2,1.168522667,1.278785267,1.244953867
3,2.327478467,1.255541867,1.519839467
4,2.778043467,2.920073767,3.010556267
5,2.775274467,2.630475167,2.718149867
6,2.504996667,2.723151467,2.582484767
7,2.710920567,2.864056967,2.577175367
8,2.839429467,2.860298967,2.816280467
9,2.835693467,3.057039467,3.076870467
10,2.834437667,3.178461467,3.444111467
11,3.171144867,3.336911867,3.360060967
12,3.249924567,3.340014467,3.360060967
13,2.841978467,3.158818667,2.993116267
14,2.846665467,3.113786467,2.994660367
15,3.005161067,3.241797367,3.220613667
16,3.076258667,3.201476567,3.221624267
17,2.967410867,3.199464367,3.213427867
18,3.116605067,3.153886267,3.365157167
19,3.116605067,3.444866867,3.576883967
20,3.100339467,3.289613867,3.328680267
21,3.080281767,3.304512067,3.331778667
22,3.108243467,3.301430767,3.218628467
23,3.105279467,3.384261467,3.289601867
24,3.240172267,3.114663467,3.199661467
25,3.157210467,3.414513467,3.428953667
26,3.140730467,3.418712267,3.426849467
27,3.178461467,3.259293767,3.439645467
28,3.176455867,3.388362667,3.420634867
29,3.160027067,3.413568267,3.224816267
30,3.131746067,3.295256267,3.224816267
31,3.040983367,3.298333367,3.550913067
32,3.038056267,3.222791467,3.252079367
33,3.403925867,3.397551467,3.546658667
34,3.112486667,3.324577067,3.253107567
35,3.071302667,3.326639867,3.254125667
36,3.217485867,3.292179167,3.332798267
37,3.210418667,3.159027267,3.442837067
38,3.059097467,3.499323467,3.631485167
39,3.556104467,3.268001267,3.630393467
40,3.225778267,3.266980667,3.114777467
41,3.227801867,3.072284067,2.947148267
42,2.946721067,3.171144867,3.298342667
43,3.098672067,3.098587067,3.216496067
44,2.871218867,3.093653567,3.209427467
45,3.228776867,3.486713567,3.331793667
46,3.223719867,3.496492867,3.232932867
47,3.161876667,3.304513967,3.383271467
48,2.986295767,3.294738467,3.382229467
49,3.029770967,3.294738467,3.325608467
