Time,Rep1,Rep2,Rep3
1,3.946170447,3.449669569,3.755042662
2,3.631990947,3.859625569,3.884238262
3,3.638413947,3.382613569,3.569724362
4,3.756584247,4.136383169,4.391541862
5,4.085055447,4.113069369,4.360121462
6,4.328367447,4.151802069,4.425186062
7,4.209217447,4.453407569,4.378081562
8,4.198008647,4.468107669,4.360612662
9,4.574078247,4.466666769,4.514649062
10,4.336717347,4.245329969,4.520477062
11,4.518407247,4.358412169,4.378850862
12,4.600901547,4.271783569,4.611702862
13,4.603860747,4.141951269,4.457728262
14,4.315836747,4.139197069,4.460626662
15,4.726465147,4.529202069,4.651313262
16,4.261852947,4.181236569,4.564267662
17,4.237881247,4.674023969,4.722108462
18,4.628925447,4.432793769,4.733697062
19,4.448086047,4.429921369,4.729191062
20,4.488004747,4.410263169,4.932587062
21,4.532782047,4.452294369,4.767631062
22,4.532782047,4.454477969,4.585932162
23,4.687971947,4.458798569,4.412224262
24,4.385889947,4.389500769,4.416544862
25,4.654603147,4.570735069,4.648814962
26,4.493161947,4.420811069,4.710510362
27,4.494620547,4.362057069,4.670027862
28,4.569276447,4.362057069,4.670027862
29,4.511649447,4.459890369,4.567856262
30,4.538344747,4.318098369,4.595675262
31,4.539813147,4.386462369,4.567397262
32,4.581874747,4.385036169,4.780222962
33,4.608601947,4.559767569,4.769655062
34,4.752754947,4.555925169,4.517608662
35,4.437501947,4.524003069,4.723085262
36,4.438949547,4.500472569,4.649350662
37,4.716292347,4.506268569,4.650837762
38,4.700603247,4.486656069,4.507724662
39,4.656197947,4.560098569,4.698373562
40,4.659181947,4.860453069,4.491603462
41,4.525803447,4.852855569,4.318688262
42,4.522110147,4.523827369,4.327218462
43,4.573701747,4.288775269,4.620775262
44,4.656147147,4.545266569,4.626850862
45,4.653164347,4.672143969,4.656371262
46,4.638501947,4.670660769,4.659347062
47,4.742655547,4.607445569,4.577421062
48,4.454772647,4.413647569,4.599174762
49,4.450418747,4.759278369,4.589142362
50,4.648159947,4.762281569,4.573373862
51,4.896311347,4.542677569,4.568960262
52,4.638979047,4.654540969,4.546003062
53,4.689549047,4.646446569,4.692237062
54,4.689549047,4.668957969,4.645365662
55,4.672815547,4.655625369,4.649826362
