frame_number,original_frame_number,frame_with_full_frame
1,5282,1
4,5295,
32,5324,
36,5330,
38,5333,
80,5376,
81,5378,
82,5384,
89,5392,
110,5414,110
113,5418,
115,5474,
117,5477,
133,5495,
134,5498,
136,5501,
139,5506,
141,5510,
151,5521,
160,5533,
162,5536,
163,5539,
166,5543,
179,5557,
183,5647,
186,5651,
192,5659,
194,5662,
203,5686,
217,5701,217
223,5708,
227,5713,
231,5718,
243,5731,
245,5734,
248,5739,
249,5741,
258,5751,
262,5756,
263,5761,
264,6081,264
265,6152,
271,6159,
272,6177,
273,6179,
274,6181,
278,6190,
279,6215,
280,6217,
282,6220,
284,6223,
285,6225,
287,6244,
291,6249,
292,6251,
294,6270,
295,6272,
297,6275,
299,6336,299
304,6342,
313,6353,
322,6363,
323,6366,
336,6380,
343,6391,
361,6410,
376,6427,
393,6445,
403,6470,
404,6472,
415,6484,
417,6487,
431,6502,
444,6518,
446,6521,
447,6523,
448,6525,
470,8111,470
472,17863,472
474,17889,
