frame_number,original_frame_number,frame_with_full_frame,time_stamp_in_original_video
1,7,1,00:00
4,21,,00:00
6,26,,00:00
7,28,,00:00
8,31,,00:01
9,37,,00:01
10,39,,00:01
11,41,,00:01
12,45,,00:01
13,50,,00:01
14,70,,00:02
15,83,,00:02
16,87,,00:03
17,97,,00:03
18,100,,00:03
19,112,,00:03
21,115,,00:03
25,127,,00:04
28,132,,00:04
30,136,,00:04
216,323,216,00:11
240,349,,00:12
254,364,,00:12
272,383,,00:13
280,392,,00:13
282,395,,00:13
284,398,,00:13
285,400,,00:13
286,402,,00:13
288,413,,00:14
289,415,,00:14
291,420,,00:14
293,424,,00:14
294,428,,00:14
296,433,,00:14
297,437,,00:15
299,440,,00:15
300,442,,00:15
302,445,,00:15
303,450,,00:15
305,454,,00:15
307,457,,00:15
309,462,,00:15
311,466,,00:16
314,471,,00:16
323,481,,00:16
332,492,,00:16
333,495,,00:17
340,504,,00:17
341,506,,00:17
342,510,,00:17
344,514,,00:17
353,530,,00:18
354,532,,00:18
355,534,,00:18
357,552,,00:19
360,561,,00:19
367,570,,00:19
368,578,,00:19
369,588,,00:20
370,592,,00:20
371,595,,00:20
376,601,376,00:20
377,603,,00:20
378,605,,00:20
379,607,,00:20
380,610,,00:21
381,612,,00:21
382,615,,00:21
383,624,,00:21
384,646,,00:22
386,654,,00:22
387,657,,00:22
390,661,,00:22
392,665,,00:22
393,680,,00:23
394,714,,00:24
397,721,,00:24
398,723,,00:24
401,727,,00:25
402,730,,00:25
403,736,,00:25
404,738,,00:25
405,742,,00:25
407,747,,00:25
410,753,,00:25
411,759,,00:26
413,763,,00:26
415,770,,00:26
423,779,,00:26
424,782,,00:26
431,790,,00:27
435,795,,00:27
446,807,,00:27
472,835,,00:28
478,843,,00:29
489,857,,00:29
491,861,,00:29
492,863,,00:29
493,867,,00:29
500,876,,00:30
501,878,,00:30
502,880,,00:30
503,882,,00:30
505,885,,00:30
506,888,,00:30
508,891,,00:30
510,894,,00:30
512,897,,00:30
513,899,,00:31
528,918,528,00:31
550,946,,00:32
552,949,,00:32
557,955,,00:32
561,960,,00:33
562,962,,00:33
566,967,,00:33
575,977,,00:33
578,981,,00:33
580,984,,00:33
593,998,,00:34
645,1055,,00:36
647,1058,,00:36
648,1061,,00:36
649,1067,,00:36
651,1071,,00:36
652,1073,,00:37
653,1076,,00:37
670,1094,,00:37
684,1110,,00:38
687,1114,,00:38
688,1117,,00:38
689,1119,,00:38
694,1125,,00:38
697,1129,,00:38
698,1131,,00:39
702,1139,,00:39
703,1141,,00:39
710,1149,,00:39
711,1154,,00:39
726,1170,,00:40
732,1178,,00:40
766,1213,766,00:41
770,1218,,00:42
775,1224,,00:42
779,1229,,00:42
784,1235,,00:42
788,1241,,00:42
807,1261,,00:43
817,1272,,00:43
825,1281,,00:44
826,1285,,00:44
828,1288,,00:44
844,1305,,00:45
857,1319,,00:45
863,1326,,00:45
865,1329,,00:45
867,1332,,00:45
872,1339,,00:46
873,1343,,00:46
875,1349,,00:46
877,1352,,00:46
878,1354,,00:46
907,1384,,00:47
912,1390,,00:47
913,1392,,00:48
921,1402,,00:48
922,1404,,00:48
925,1408,,00:48
928,1412,,00:48
929,1414,,00:48
932,1418,,00:48
937,1424,,00:49
939,1429,,00:49
940,1431,,00:49
942,1435,,00:49
945,1441,,00:49
947,1444,,00:49
948,1447,,00:49
950,1450,,00:50
951,1457,,00:50
952,1460,,00:50
958,1468,,00:50
959,1470,,00:50
960,1472,,00:50
961,1475,,00:50
964,1480,,00:51
966,1484,,00:51
967,1488,,00:51
969,1494,,00:51
970,1496,,00:51
980,1510,980,00:52
981,1514,,00:52
985,1519,,00:52
987,1522,,00:52
988,1524,,00:52
989,1528,,00:52
991,1533,,00:52
994,1539,,00:53
997,1545,,00:53
1001,1552,,00:53
1003,1559,,00:53
1004,1583,,00:54
1005,1590,,00:54
1006,1596,,00:55
1007,1621,,00:55
1029,1644,,00:56
1033,1650,,00:56
1037,1655,,00:57
1042,1661,,00:57
1046,1667,,00:57
1050,1673,,00:57
1055,1679,,00:57
1058,1683,,00:58
1062,1689,,00:58
1065,1694,,00:58
1067,1699,,00:58
1068,1701,,00:58
1077,1714,,00:59
1079,1719,,00:59
1081,1722,,00:59
1086,1731,,00:59
1087,1734,,00:59
1088,1739,,00:59
1089,1744,,01:00
1090,1746,,01:00
1091,1750,,01:00
1093,1756,,01:00
1094,1762,,01:00
1095,1764,,01:00
1097,1767,,01:00
1099,1771,,01:01
1103,1776,,01:01
1113,1788,,01:01
1117,1795,,01:01
1119,1799,,01:02
1127,1808,1127,01:02
1132,1814,,01:02
1135,1818,,01:02
1139,1824,,01:02
1141,1827,,01:03
1143,1830,,01:03
1154,1842,,01:03
1214,1903,,01:05
1336,2026,,01:09
1348,2039,,01:10
1351,2043,,01:10
1739,2432,1739,01:23
1809,2504,,01:26
1818,2514,,01:26
1831,2528,,01:27
1847,2545,,01:27
1848,2547,,01:27
1849,2549,,01:27
1873,2574,,01:28
1874,2576,,01:28
1875,2579,,01:28
1881,2586,,01:29
1886,2592,,01:29
1888,2595,,01:29
1889,2597,,01:29
1893,2602,,01:29
1899,2609,,01:29
1905,2616,,01:30
1914,2627,,01:30
1919,2637,,01:30
1921,2640,,01:31
1961,2682,,01:32
1962,2685,,01:32
1963,2687,,01:32
1974,2700,1974,01:33
1976,2703,,01:33
1977,2705,,01:33
1979,2708,,01:33
1980,2710,,01:33
1985,2722,,01:33
1986,2724,,01:33
1987,2726,,01:34
2010,2763,,01:35
2013,2767,,01:35
2014,2770,,01:35
2015,2772,,01:35
2016,2800,,01:36
2017,2812,,01:36
2019,2824,,01:37
2020,2829,,01:37
2021,2847,,01:38
2022,2874,,01:39
2024,2880,,01:39
2025,2882,,01:39
