frame_number,original_frame_number,frame_with_full_frame
1,282,1
4,305,4
14,316,
23,326,
24,341,
28,346,
30,353,
36,360,
39,439,
41,442,
48,723,48
50,732,
52,995,52
55,999,
56,1021,
66,1032,
67,1034,
68,1036,
70,1040,
71,1050,
72,1321,72
76,1857,76
79,2265,79
90,2279,
92,2282,
94,2285,
98,2504,98
109,2516,
119,2533,
122,2537,
123,2540,
124,2543,
125,3354,125
127,3357,
137,3578,
166,3610,166
171,3617,
173,3620,
175,3624,
176,3626,
177,3628,
179,3737,
182,3752,
191,3762,
194,3766,
198,3771,
203,3784,
204,3797,
205,3799,
207,3804,
208,3806,
209,3820,
217,3857,
227,3884,
229,3887,
233,3958,233
235,3962,
236,3965,
237,3972,
246,3982,
253,3990,
276,4020,
294,4040,
295,4060,
296,4062,
297,4067,
299,4126,
301,4137,
303,4257,303
313,4355,
314,4375,
315,4381,
317,4390,
319,4394,
321,4398,
323,5734,323
325,5741,
335,5754,
336,5774,
337,5776,
338,6452,338
354,6478,
356,6494,
357,6496,
359,6504,
360,6506,
361,6508,
364,6512,
365,6515,
367,6519,
369,6523,
370,6527,
373,6534,
374,6538,
376,6559,
378,6563,
379,6568,
380,6570,
381,6575,
384,6579,
385,6581,
386,6593,
389,6597,
390,6599,
395,6605,395
396,6607,
397,6609,
398,6612,
399,6618,
403,6623,
405,6626,
407,6629,
410,6641,
411,6646,
412,6652,
419,6663,
420,6667,
424,6672,
425,6715,
432,6724,
436,6732,
441,6738,
446,6744,
450,6754,
451,6808,
452,6811,
453,6818,
454,6821,
455,6823,
457,6828,
461,6834,
462,6840,
463,6843,
464,6845,
465,6847,
467,6852,
469,6855,
472,6861,
473,6863,
475,6872,
476,6876,
477,6884,
479,6888,
481,6892,
483,6898,
484,6903,484
485,6908,
488,6912,
495,6920,
496,6924,
497,6926,
501,6942,
502,6946,
506,6952,
507,6954,
509,6962,
511,6968,
513,6972,
515,6976,
516,6984,
519,6993,
520,6998,
522,7001,
523,7003,
524,7008,
526,7011,
527,7013,
529,7019,
530,7030,
531,7068,
535,7074,
537,7078,
540,7082,
542,7087,
543,7089,
544,7091,
545,7219,545
546,7223,
551,7241,
553,7245,
556,7253,
571,7338,
574,7349,
576,7352,
581,7358,
587,7737,587
588,8457,588
594,9268,594
595,9270,
596,9336,596
600,9341,
602,9345,
603,9417,
607,9443,
609,9472,
610,9535,
615,9541,
627,9556,
631,9641,631
633,9680,
638,9686,
640,10478,640
642,10482,
644,10505,644
652,10691,
654,10707,
655,10916,655
658,11481,658
663,11487,
664,11489,
671,11497,
684,12164,684
689,12203,
693,12257,
694,12264,
696,12285,
701,12453,701
704,12457,
710,12464,
719,12588,
723,12593,
738,12743,738
744,12883,
746,12934,746
751,12952,
