frame_number,original_frame_number,frame_with_full_frame
1,91,1
12,103,
36,128,
61,320,61
70,551,
72,554,
74,558,
86,1116,86
91,1848,91
108,1872,
110,1956,
111,1958,
125,2060,
127,2087,
129,2090,
134,2155,134
136,2158,
139,2162,
140,2164,
141,2166,
143,2171,
147,2183,
148,2187,
149,2443,149
152,2466,
157,2617,
164,2667,
165,3252,165
177,3321,177
184,3553,
200,3572,
210,3583,
214,3588,
218,3596,
219,3598,
222,4172,222
266,4218,266
275,4228,
281,4235,
284,4239,
288,4244,
294,4251,
301,4260,
302,4262,
304,4266,
311,4274,
312,4276,
313,4279,
315,4282,
321,4289,
324,4296,
325,4300,
339,4316,
341,4320,
344,4324,
345,4327,
387,4371,
388,4380,
389,4382,
391,4541,391
396,4547,
417,4569,
421,4575,
423,4578,
424,4581,
425,4589,
443,4608,
451,4617,
476,4644,
493,4718,
549,4775,
552,4779,
556,4784,
560,4789,
565,4795,
566,4942,566
582,4959,
584,5019,
596,5032,
600,5039,
601,5041,
602,5043,
603,5045,
612,5189,612
627,5205,
628,5272,
630,5275,
642,5314,
649,5419,649
650,5541,
651,5555,
652,5559,
653,5654,
654,5657,
655,5671,
657,5676,
660,5700,660
662,5703,
665,5710,
666,5712,
667,5757,
669,5760,
672,5764,
673,5766,
674,5768,
678,5773,
684,5780,
694,5791,
695,5795,
698,5799,
700,5803,
712,5816,
714,5874,
871,6032,871
873,6038,
874,6044,
878,6050,
899,6072,
900,6074,
909,6084,
999,6175,
1016,6193,
1023,6201,
1026,6205,
1050,6230,
1052,6233,
1054,6241,
1055,6264,
1056,6267,
1057,6269,
1058,6281,
1059,6307,1059
1060,6309,
1061,6317,
1062,6351,
1063,6355,
1074,6367,
1085,6379,
1090,6385,
1093,6389,
1103,6400,
1104,6402,
1106,6406,
1108,6409,
1127,6429,
1145,6466,
1146,6523,
1148,6526,
1155,6538,
1212,6610,1212
1220,6619,
1229,6629,
1233,6636,
1240,6644,
1244,6650,
1247,6654,
1249,6658,
1256,6666,
1345,6910,1345
1353,6919,
1354,6930,
1356,6950,
1368,6963,
1373,6969,
1376,6973,
1378,6976,
1381,6981,
1382,6984,
1383,6986,
1384,6989,
1389,6998,
1390,7000,
1391,7009,
1399,7090,
1404,7293,1404
1413,7303,
1419,7314,
1420,7316,
1421,7321,
1422,7354,
1423,7359,
1424,7367,
1427,7477,
1430,7486,
1431,7499,
1432,7504,1432
1433,7506,
1434,7513,
1439,7522,
1440,7532,
1444,7542,
1449,7566,
1457,7575,
1472,7591,
1474,7607,
1480,7614,
1552,7692,
1556,7698,
1565,7708,
1568,7719,
1584,7757,
1625,7799,
1632,7807,1632
1636,7813,
1665,7843,
1674,7854,
1679,7861,
1682,7865,
1704,7888,
1748,7933,
1771,7969,
1800,8031,
1803,8043,
1815,8076,
1827,8089,
1877,8140,1877
1889,8155,
1890,8157,
1893,8165,
1914,8187,
1924,8198,
1925,8200,
1927,8203,
1962,8240,
1967,8246,
2006,8286,
2008,8289,
2010,8293,
2013,8298,
2014,8300,
2047,8383,
2055,8423,2055
2058,8468,
2106,8523,
2107,8525,
2118,8538,
2175,8596,
2178,8600,
2180,8603,
2183,8609,
2185,8615,
2187,8674,
2189,8694,
2191,8698,
2212,8720,2212
2225,8734,
2227,8737,
2248,8816,
2250,8819,
2251,8821,
2253,8824,
2278,8850,
2284,8932,
2302,8951,
2321,9047,2321
2328,9195,
2332,9251,
2333,9327,2333
2338,9333,
2340,9336,
2341,9338,
2350,9348,
2351,9356,
2353,9359,
2358,9365,
2360,9429,
