frame_number,original_frame_number,frame_with_full_frame
1,4,1
4,37,
5,40,
6,42,
8,48,
11,52,
12,54,
13,59,
14,65,
17,76,
18,81,
19,83,
20,103,
24,110,
26,132,
27,148,
31,156,
32,160,
34,166,
35,176,
38,180,
46,189,
51,195,
52,197,
53,202,
61,212,
70,222,
71,227,
74,231,
78,238,
82,243,
92,254,
94,270,
96,274,
98,283,
101,287,
104,291,
106,297,
107,318,107
117,331,
119,334,
121,339,
122,342,
123,344,
124,347,
126,355,
130,360,
133,365,
137,376,
138,378,
140,382,
143,406,
149,414,
150,416,
151,420,
153,423,
154,425,
155,427,
158,438,
160,441,
165,448,
174,460,
178,467,
180,477,
186,486,
187,488,
188,494,
201,511,
203,523,
226,547,
477,799,477
586,909,586
639,965,
642,969,
646,974,
650,979,
652,982,
698,1029,
715,1047,
719,1053,
727,1062,
731,1067,
733,1075,
738,1081,
740,1084,
741,1087,
743,1091,
755,1104,
756,1106,
757,1108,
759,1111,
764,1117,
768,1122,
769,1124,
773,1131,
774,1135,
779,1141,
780,1145,
783,1149,
785,1152,
786,1154,
801,1171,
805,1176,
806,1178,
807,1182,
811,1187,
812,1189,
817,1195,
818,1199,
819,1201,819
823,1207,
824,1231,
825,1242,
826,1246,
828,1250,
860,1283,
865,1289,
868,1293,
870,1299,
889,1319,
892,1324,
918,1351,
919,1353,
920,1355,
921,1359,
923,1364,
924,1466,
925,1473,
931,1480,
945,1497,
954,1509,954
956,1512,
958,1523,
966,1536,
967,1538,
968,1540,
969,1543,
1006,1585,
1007,1589,
1008,1591,
1013,1597,
1019,1604,
1022,1608,
1050,1637,
1053,1641,
1055,1644,
1056,1646,
1060,1652,
1064,1657,
1067,1661,
1068,1663,
1070,1666,
1071,1668,
1072,1671,
1074,1674,
1075,1676,
1090,1692,
1096,1700,
1099,1704,
1101,1707,
1115,1722,
1142,1750,
1143,1752,
1144,1805,1144
1146,1808,
1147,1812,
1148,1814,
1150,1850,
1152,1883,
1153,1885,
1155,1888,
1172,1907,
1173,1909,
1179,1918,
1184,1926,
1185,1930,
1187,1933,
1188,1935,
1189,1939,
1191,1942,
1192,1944,
1193,1953,
1202,1966,
1203,1970,
1204,1973,
1207,1977,
1208,1980,
1212,1989,
1218,1997,
1221,2002,
1222,2004,
1229,2012,
1231,2017,
1234,2024,
1237,2028,
1240,2032,
1242,2035,
1244,2038,
1246,2042,
1247,2044,
1249,2049,
1254,2058,
1261,2098,
1262,2100,1262
1263,2102,
1264,2104,
1267,2115,
1268,2119,
1269,2121,
1351,2204,
1356,2210,
1358,2214,
1420,2278,
1422,2281,
1423,2288,
1426,2292,
1440,2307,
1444,2312,
1447,2317,
1496,2368,
1503,2376,
1504,2391,
1528,2416,1528
1529,2419,
1533,2454,
1534,2456,
1562,2485,
1606,2530,
1627,2552,
1628,2555,
1631,2559,
1632,2563,
1633,2565,
1634,2567,
1639,2573,
1646,2581,
1652,2588,
1661,2598,
1675,2613,
1677,2616,
1740,2680,
1749,2690,
1755,2697,
1759,2702,1759
1769,2713,
1771,2720,
1775,2734,
1782,2742,
1795,2756,
1796,2759,
1799,2764,
1812,2779,
1815,2786,
1817,2790,
1818,2795,
1819,2798,
1830,2811,
1831,2815,
1832,2819,
1833,2829,
1845,2845,
1848,2851,
1851,2882,
1864,2896,
1866,2899,
1870,2952,
1871,2985,
1882,2997,
1905,3021,1905
1910,3030,
1913,3034,
1914,3036,
1915,3039,
1916,3044,
1919,3048,
1920,3050,
1935,3066,
1940,3072,
1941,3077,
1953,3090,
1956,3094,
1972,3111,
1975,3115,
1976,3144,
1978,3147,
1984,3162,
1994,3183,
1995,3187,
2019,3212,
2024,3218,
2047,3242,
2063,3259,
2064,3263,
2065,3268,
2068,3272,
2069,3275,
2070,3278,
2079,3288,
2101,3311,2101
2144,3355,
2158,3370,
2162,3375,
2164,3378,
2172,3388,
2173,3390,
2174,3392,
2175,3410,
2176,3414,
2177,3419,
2289,3534,
2294,3540,
2298,3545,
2299,3548,
2320,3570,
2322,3573,
2335,3587,
2413,3666,2413
2418,3676,
2419,3691,
2421,3694,
2439,3713,
2547,3823,
2581,3858,
2600,3878,
2655,3990,2655
2702,4038,
2703,4041,
2706,4052,
2707,4175,
2716,4226,2716
2729,4432,
2734,4438,
2735,4440,
2744,4496,
2755,4508,2755
2756,4510,
2769,4524,
2782,4539,
2798,4556,
2814,4574,
2815,4576,
2829,4591,
2834,4597,
2845,4611,
2846,4613,
2847,4615,
2849,4618,
2853,4623,
