frame_number,original_frame_number,frame_with_full_frame,time_stamp_in_original_video
1,91,1,00:03
20,111,,00:04
30,122,,00:04
61,321,61,00:12
69,551,,00:22
71,554,,00:22
73,558,,00:22
84,570,,00:22
86,579,,00:23
88,582,,00:23
90,1116,90,00:44
92,1119,,00:44
94,1851,94,01:14
110,1871,,01:14
113,1956,,01:18
129,2060,,01:22
132,2088,,01:23
139,2154,139,01:26
141,2158,,01:26
142,2160,,01:26
143,2162,,01:26
146,2166,,01:26
149,2171,,01:26
152,2179,,01:27
156,2184,,01:27
157,2443,157,01:37
160,2464,,01:38
167,2618,,01:44
173,3252,173,02:10
185,3321,185,02:12
192,3553,,02:22
209,3572,,02:22
214,3578,,02:23
218,3583,,02:23
225,3591,,02:23
226,3596,,02:23
227,3598,,02:23
229,3999,229,02:39
230,4171,,02:46
265,4207,265,02:48
269,4212,,02:48
273,4218,,02:48
279,4225,,02:49
297,4244,,02:49
301,4249,,02:49
310,4261,,02:50
311,4263,,02:50
312,4266,,02:50
323,4279,,02:51
325,4282,,02:51
327,4285,,02:51
328,4287,,02:51
329,4290,,02:51
331,4296,,02:51
332,4300,,02:52
334,4303,,02:52
346,4316,,02:52
348,4319,,02:52
352,4325,,02:53
380,4354,,02:54
389,4365,,02:54
394,4371,,02:54
396,4380,,02:55
398,4383,,02:55
399,4540,399,03:01
400,4542,,03:01
404,4547,,03:01
425,4570,,03:02
428,4575,,03:03
430,4578,,03:03
431,4580,,03:03
432,4589,,03:03
444,4602,,03:04
449,4608,,03:04
457,4617,,03:04
476,4637,,03:05
480,4642,,03:05
499,4719,,03:08
554,4775,,03:11
557,4779,,03:11
562,4785,,03:11
566,4790,,03:11
569,4795,,03:11
570,4854,570,03:14
573,4942,,03:17
592,5020,,03:20
612,5041,,03:21
613,5043,,03:21
621,5054,,03:22
622,5189,622,03:27
640,5221,,03:28
644,5273,,03:30
645,5275,,03:31
658,5314,,03:32
666,5421,666,03:36
667,5423,,03:36
668,5541,,03:41
669,5545,,03:41
670,5555,,03:42
671,5559,,03:42
672,5650,,03:46
673,5657,,03:46
675,5671,,03:46
677,5674,,03:46
684,5700,684,03:48
690,5707,,03:48
692,5710,,03:48
693,5712,,03:48
694,5757,,03:50
704,5768,,03:50
705,5770,,03:50
707,5773,,03:50
712,5779,,03:51
714,5782,,03:51
722,5791,,03:51
724,5797,,03:51
725,5799,,03:51
727,5804,,03:52
729,5807,,03:52
737,5816,,03:52
739,5872,,03:54
901,6045,901,04:01
902,6048,,04:01
903,6050,,04:02
924,6072,,04:02
925,6074,,04:02
928,6078,,04:03
933,6084,,04:03
935,6087,,04:03
939,6092,,04:03
1021,6175,,04:07
1038,6193,,04:07
1045,6201,,04:08
1073,6230,,04:09
1075,6233,,04:09
1077,6236,,04:09
1078,6238,,04:09
1079,6241,,04:09
1080,6264,,04:10
1082,6267,,04:10
1083,6269,,04:10
1084,6276,,04:11
1085,6303,1085,04:12
1086,6307,,04:12
1088,6310,,04:12
1089,6317,,04:12
1090,6334,,04:13
1092,6352,,04:14
1093,6354,,04:14
1127,6389,,04:15
1136,6400,,04:16
1137,6402,,04:16
1142,6408,,04:16
1181,6451,,04:18
1182,6455,,04:18
1183,6524,,04:20
1192,6539,,04:21
1207,6555,,04:22
1219,6568,,04:22
1248,6610,1248,04:24
1256,6619,,04:24
1265,6629,,04:25
1266,6631,,04:25
1267,6634,,04:25
1282,6650,,04:26
1284,6655,,04:26
1285,6657,,04:26
1293,6666,,04:26
1309,6683,,04:27
1382,6910,1382,04:36
1385,6914,,04:36
1389,6919,,04:36
1390,6930,,04:37
1392,6950,,04:38
1404,6963,,04:38
1407,6967,,04:38
1408,6969,,04:38
1411,6973,,04:38
1412,6975,,04:39
1417,6981,,04:39
1418,6983,,04:39
1420,6987,,04:39
1421,6989,,04:39
1426,6998,,04:39
1427,7001,,04:40
1428,7011,,04:40
1434,7090,,04:43
1441,7217,1441,04:48
1442,7251,,04:50
1444,7294,,04:51
1452,7305,,04:52
1454,7308,,04:52
1455,7316,,04:52
1456,7318,,04:52
1457,7321,,04:52
1458,7326,,04:53
1462,7352,,04:54
1464,7356,,04:54
1465,7361,,04:54
1466,7366,,04:54
1470,7389,,04:55
1471,7477,,04:59
1474,7498,,04:59
1476,7504,1476,05:00
