frame_number,original_frame_number,frame_with_full_frame
1108,12448,
1109,12451,
1112,12456,
1113,12459,
1115,12479,
1117,12482,
1118,12486,
1119,12488,
1120,12494,
1121,12504,
1123,12509,
1124,12512,
1125,12574,
1126,12581,
1131,12587,
1134,12591,
1135,12595,
1137,12602,1137
1138,12616,
1139,12618,
1140,12623,
1146,12631,
1150,12637,
1153,12641,
1171,12661,
1172,12664,
1173,12667,
1176,12672,
1177,12679,
1179,12682,
1183,12687,
1186,12703,
1187,12706,
1189,12709,
1223,12744,
1227,12750,
1228,12757,
1229,12761,
1231,12793,
1232,12827,
1233,12831,
1234,12846,
1235,12850,
1236,12868,
1237,12874,
1238,12886,
1239,12903,1239
1240,12908,
1243,12919,
1244,12922,
1245,12954,
1247,12970,
1248,12993,
1249,12996,
1251,13002,
1252,13005,
1253,13029,
1254,13051,
1255,13073,
1256,13079,
1258,13155,
1259,13157,
1260,13160,
1263,13168,
1264,13218,1264
1265,13253,
1267,13256,
1270,13280,
1271,13503,1271
1273,13508,
1275,13511,
1276,13516,
1277,13524,
1278,13528,
1280,13538,
1282,13550,
1283,13553,
1284,13566,
1285,13581,
1286,13588,
1292,13595,
1293,13598,
1294,13601,
1295,13607,
1296,13609,
1297,13614,
1299,13617,
1300,13629,
1302,13638,
1303,13649,
1304,13655,
1305,13657,
1306,13659,
1307,13663,
1335,13694,
1337,13697,
1338,13719,
1339,13722,
1340,13729,
1341,13769,
1342,13788,
1343,13790,
1344,13797,
1346,13801,1346
1347,13804,
1349,13808,
1379,13842,
1380,13844,
1381,13930,
1382,13932,
1384,13939,
1385,13957,
1386,13962,
1387,13973,
1388,13975,
1389,13977,
1390,13982,
1391,13984,
1392,14018,
1393,14024,
1394,14039,
1395,14042,
1396,14060,
1399,14067,
1400,14073,
1401,14129,1401
1402,14138,
1403,14195,
1404,14208,
1405,14214,
1406,14269,
1408,14306,
1410,14318,
1411,14363,
1412,14365,
1414,14417,1414
1415,14457,
1416,14481,
1417,14525,
1418,14531,
1419,14534,
1420,14537,
1422,14561,
1423,14567,
1424,14571,
1425,14575,
1427,14579,
1432,14585,
1433,14587,
1434,14589,
1435,14592,
1437,14614,
1438,14617,
1440,14620,
1441,14623,
1445,14630,
1446,14632,
1447,14637,
1450,14642,
1451,14645,
1453,14663,
1454,14665,
1477,14689,
1485,14698,
1486,14703,1486
1493,14711,
1494,14715,
1497,14719,
1500,14723,
1529,14755,
1530,14760,
1531,14765,
1533,14768,
1534,14773,
1537,14783,
1538,14788,
1540,14807,
1541,14843,
1542,14846,
1544,14853,
1545,14855,
1546,14862,
1547,14866,
1549,14869,
1550,14871,
1551,14877,
1552,14907,
1553,14914,
1556,14922,
1557,14924,
1558,14927,
1560,14946,
1562,14949,
1563,14951,
1564,14959,
1565,14963,
1567,14966,
1588,14989,
1601,15003,1601
