frame_number,original_frame_number,frame_with_full_frame,time_stamp_in_original_video
888,14635,,09:45
889,14648,,09:45
890,14662,,09:46
891,14666,,09:46
893,14762,893,09:50
894,14765,,09:50
895,14774,,09:50
896,14776,,09:51
897,14836,,09:53
898,14841,,09:53
899,14843,,09:53
908,14871,,09:54
909,14882,,09:55
911,14899,,09:55
913,14903,,09:56
914,14907,,09:56
917,14914,,09:56
918,14916,,09:56
919,15066,919,10:02
920,15080,,10:03
921,15166,,10:06
922,15191,,10:07
923,15215,,10:08
924,15248,,10:09
925,15481,925,10:19
932,15490,,10:19
936,15495,,10:19
958,15519,,10:20
960,15522,,10:20
969,15545,,10:21
970,15547,,10:21
971,15552,,10:22
972,15555,,10:22
973,15559,,10:22
974,15561,,10:22
976,15570,,10:22
977,15612,977,10:24
978,15639,,10:25
979,15651,,10:26
981,15664,,10:26
982,15682,,10:27
983,15696,,10:27
984,15707,,10:28
985,15721,,10:28
986,15741,,10:29
987,15773,,10:30
989,15776,,10:31
992,15780,,10:31
994,15787,,10:31
998,15792,,10:31
1002,15797,,10:31
1003,15801,,10:32
1004,15811,,10:32
1005,15829,,10:33
1006,15833,,10:33
1010,15839,,10:33
1013,15865,,10:34
1036,16133,1036,10:45
1037,16277,1037,10:51
1038,16321,,10:52
1039,16334,,10:53
1040,16356,,10:54
1041,16542,1041,11:01
1046,16979,1046,11:19
1047,16991,,11:19
1050,17058,,11:22
1051,17084,,11:23
1052,17115,1052,11:24
1053,17119,,11:24
1079,17147,,11:25
1082,17151,,11:26
1083,17153,,11:26
1085,17158,,11:26
1091,17165,,11:26
1094,17169,,11:26
1103,17179,,11:27
1107,17186,,11:27
1111,17191,,11:27
1113,17194,,11:27
1118,17215,,11:28
1119,17250,,11:30
1120,17256,,11:30
1121,17424,1121,11:36
1123,17427,,11:37
1140,17445,,11:37
1142,17448,,11:37
1158,17521,,11:40
1162,17529,,11:41
1165,17533,,11:41
1166,17538,,11:41
1168,17541,,11:41
1169,17545,,11:41
1171,17548,,11:41
1173,17555,,11:42
1183,17566,,11:42
1189,17573,,11:42
1193,17640,,11:45
1195,17843,1195,11:53
1196,17852,,11:54
1197,17856,,11:54
1198,17860,,11:54
1199,17875,,11:55
1200,17877,,11:55
1201,17950,,11:58
1202,17984,,11:59
1203,18003,1203,12:00
1204,18006,,12:00
1205,18017,,12:00
1207,18023,,12:00
1209,18041,,12:01
1210,18043,,12:01
1211,18046,,12:01
1216,18054,,12:02
1217,18059,,12:02
1218,18064,,12:02
1219,18067,,12:02
1220,18085,,12:03
1221,18087,,12:03
1222,18094,,12:03
1230,18105,,12:04
1231,18107,,12:04
1237,18114,,12:04
1239,18124,,12:04
1244,18132,,12:05
1245,18135,,12:05
1248,18233,,12:09
1249,18253,,12:10
1255,18283,,12:11
1256,18292,,12:11
1257,18314,1257,12:12
1263,18325,,12:13
1277,18358,,12:14
1278,18400,,12:16
1285,18408,,12:16
1292,18416,,12:16
1300,18425,,12:17
1316,18442,,12:17
1318,18445,,12:17
1321,18449,,12:17
1348,18478,,12:19
1363,18494,,12:19
1368,18500,,12:20
1370,18505,,12:20
1374,18510,,12:20
1379,18516,,12:20
1392,18530,,12:21
1397,18536,,12:21
1399,18543,,12:21
1402,18548,,12:21
1403,18551,,12:22
1406,18558,,12:22
1407,18560,,12:22
1409,18564,,12:22
1414,18570,,12:22
1419,18577,,12:23
1426,18586,,12:23
1434,18595,,12:23
1442,18604,1442,12:24
1449,18612,,12:24
1452,18616,,12:24
1453,18618,,12:24
1465,18631,,12:25
1467,18634,,12:25
1468,18637,,12:25
1479,18650,,12:26
1480,18652,,12:26
1494,18667,,12:26
1503,18678,,12:27
1505,18687,,12:27
1506,18689,,12:27
1507,18703,,12:28
1508,18705,,12:28
1509,18707,,12:28
1528,18727,,12:29
1532,18732,,12:29
1541,18742,,12:29
1566,18768,,12:30
1596,18799,,12:31
1600,18804,,12:32
1602,18823,,12:32
1603,18828,,12:33
1605,18831,,12:33
1608,18837,,12:33
1609,18840,,12:33
1617,18857,,12:34
1619,18860,,12:34
1620,18864,,12:34
1621,18866,,12:34
1622,18871,,12:34
1623,18873,,12:34
1624,18879,,12:35
