frame_number,original_frame_number,frame_with_full_frame
1,2,1
107,109,
122,125,
127,131,
171,176,
178,185,
180,188,
184,193,
186,201,
187,204,
189,207,
209,229,
226,248,
229,253,
232,257,
234,260,
238,267,
239,270,
240,279,
245,285,
263,306,263
273,319,
274,329,
275,339,
276,341,
278,347,
281,354,
284,358,
291,366,
295,372,
296,374,
340,419,
444,524,
445,526,
451,533,
457,540,
458,542,
459,544,
460,546,
461,556,
462,564,
466,569,
471,579,
472,582,
475,587,
477,596,
479,600,479
484,606,
485,609,
486,611,
487,614,
488,619,
489,622,
492,627,
493,631,
496,636,
498,639,
500,642,
517,661,
521,666,
522,668,
523,671,
524,673,
528,678,
529,683,
530,689,
531,691,
534,695,
538,700,
544,707,
552,719,
571,740,
573,744,
574,746,
575,748,
576,751,
578,754,
580,760,
581,763,
582,766,
583,770,
585,780,
589,786,
594,793,
596,799,
598,803,
600,809,
601,812,
603,816,
604,818,
606,835,
607,839,
620,853,
624,858,
637,872,
640,876,
645,882,
674,912,674
802,1041,
804,1044,
810,1052,
825,1069,
836,1081,
840,1086,
841,1088,
851,1099,
854,1104,
867,1118,
874,1126,
878,1131,
885,1143,
887,1152,
888,1154,
889,1157,
890,1160,
891,1163,
914,1187,
915,1191,
920,1197,
924,1206,924
925,1214,
926,1227,
928,1243,
929,1249,
930,1251,
931,1255,
932,1257,
947,1273,
978,1305,
991,1319,
998,1328,
999,1333,
1004,1340,
1006,1343,
1007,1346,
1033,1374,
1035,1377,
1039,1382,
1041,1386,
1044,1390,
1048,1395,
1050,1399,
1053,1405,
1055,1409,
1056,1411,
1057,1413,
1058,1415,
1062,1420,
1063,1422,
1064,1425,
1065,1427,
1068,1431,
1070,1435,
1078,1444,
1087,1455,
1195,1564,1195
1198,1568,
1211,1582,
1215,1587,
1216,1589,
1220,1594,
1223,1598,
1238,1614,
1244,1622,
1245,1624,
1247,1627,
1249,1633,
1251,1636,
1278,1664,
1287,1674,
1296,1685,
1302,1692,
1303,1694,
1312,1705,
1321,1715,
1323,1718,
1324,1720,
1325,1722,
1340,1738,
1343,1743,
1377,1778,
1464,1868,1464
1468,1874,
1472,1879,
1486,1894,
1494,1904,
1507,1919,
1511,1924,
1517,1931,
1518,1935,
1519,1939,
1523,1945,
1524,1947,
1536,1960,
1591,2018,
1605,2035,
1606,2037,
1607,2039,
1609,2042,
1610,2047,
1612,2056,
1613,2059,
1614,2064,
1615,2068,
1618,2073,
1620,2076,
1621,2078,
1624,2085,
1634,2096,
1645,2108,1645
1667,2131,
1679,2144,
1685,2152,
1687,2156,
1689,2159,
1691,2162,
1693,2165,
1698,2172,
1706,2181,
1709,2185,
1712,2190,
1717,2196,
1719,2199,
1725,2208,
1740,2224,
1742,2228,
1743,2231,
1744,2236,
1745,2238,
1746,2240,
1748,2243,
1766,2262,
1769,2267,
1771,2274,
1773,2277,
1774,2281,
1778,2288,
1782,2293,
1784,2296,
1786,2299,
1788,2302,
1791,2308,
1814,2332,
1815,2334,
1824,2344,
1833,2354,
1868,2391,
1869,2394,
1870,2396,
1875,2402,1875
1876,2404,
1892,2421,
1894,2424,
1900,2431,
1902,2434,
1911,2444,
1918,2452,
1924,2460,
1925,2463,
1930,2469,
1932,2472,
1934,2476,
1935,2478,
1937,2482,
1939,2485,
1940,2490,
1941,2492,
1942,2494,
1943,2496,
1948,2502,
2035,2590,
2429,2985,2429
2444,3001,2444
2454,3012,
2563,3122,
2576,3137,
2587,3149,
2595,3160,
2597,3163,
2604,3171,
2606,3174,
2609,3179,
2611,3182,
2616,3188,
2619,3192,
2623,3198,
2625,3201,
2628,3206,
2631,3212,
2634,3216,
2637,3224,
2638,3227,
2639,3229,
2642,3233,
2644,3237,
2650,3244,
2651,3246,
2652,3248,
2658,3255,
2662,3262,
2664,3269,
2666,3273,
2667,3275,
2670,3280,
2673,3284,
2684,3296,
2691,3304,2691
2694,3308,
2697,3312,
2701,3317,
2712,3329,
2734,3352,
2738,3357,
2742,3362,
2751,3372,
2752,3374,
2758,3381,
2775,3399,
2779,3404,
2792,3418,
2795,3423,
2818,3447,
2830,3460,
2865,3497,
2868,3501,
2869,3505,
2875,3512,
2877,3515,
2878,3517,
2880,3520,
2882,3523,
2889,3531,
2929,3572,
3080,3724,3080
3147,3792,
3148,3794,
3167,3814,
3176,3825,
3241,3891,
3248,3900,3248
3276,3929,
3284,3938,
3353,4008,
3370,4026,
3529,4186,
3533,4192,
3544,4204,3544
3589,4250,
3636,4298,
3653,4318,
3656,4322,
3738,4405,
3746,4414,
3791,4460,
3804,4474,
3807,4478,
3834,4506,3834
3869,4542,
3870,4544,
3876,4551,
3877,4553,
3879,4556,
3880,4560,
3883,4564,
3886,4573,
3888,4577,
3889,4579,
3892,4585,
3893,4592,
3894,4594,
3896,4599,
3898,4602,
3906,4612,
3910,4617,
3912,4620,
3913,4623,
3915,4627,
3920,4635,
3922,4638,
3924,4642,
3928,4650,
3929,4652,
3934,4658,
3935,4660,
3937,4663,
3940,4667,
3942,4671,
3943,4676,
3944,4678,
3945,4680,
3946,4686,
3947,4688,
3948,4695,
3951,4699,
3952,4701,
3953,4705,
3955,4708,
3957,4711,
3959,4714,
3961,4718,
3963,4721,
3964,4723,
3966,4726,
3970,4731,
3971,4736,
3972,4738,
3973,4741,
3975,4745,
3977,4751,
3978,4753,
3981,4757,
3983,4760,
3987,4767,
3989,4770,
3991,4773,
3993,4776,
4000,4785,
4003,4791,
4006,4796,
4007,4800,4007
4011,4806,
4016,4813,
4020,4821,
4021,4823,
4023,4826,
4026,4830,
4029,4835,
4037,4844,
4038,4846,
4046,4855,
4047,4857,
4070,4881,
4162,4974,
4168,4981,
4176,4990,
4181,4999,
4189,5008,
4191,5015,
4193,5019,
4194,5022,
4195,5024,
4199,5029,
4202,5033,
4206,5040,
4209,5044,
4210,5047,
4212,5052,
4213,5054,
4214,5056,
4215,5058,
4218,5062,
4220,5067,
4230,5079,
4231,5081,
4233,5084,
4237,5089,
4239,5092,
4244,5098,
4246,5101,4246
4247,5104,
4248,5106,
4251,5110,
4256,5116,
4258,5121,
4263,5127,
4265,5131,
4269,5136,
4271,5139,
4279,5148,
4302,5173,
4311,5184,
4401,5275,
4409,5284,
4455,5331,
4459,5336,
4466,5344,
4471,5350,
4476,5359,
4480,5366,
4481,5368,
4482,5371,
4484,5375,
4489,5381,
4524,5417,4524
4553,5448,
4577,5474,
4581,5479,
4582,5481,
4586,5486,
4631,5532,
4635,5537,
4643,5548,
4645,5551,
4646,5553,
4650,5559,
4651,5561,
4654,5565,
4657,5576,
4658,5582,
4661,5586,
4664,5591,
4668,5596,
4685,5614,
4688,5618,
4703,5635,
4713,5646,
4725,5660,
4731,5667,
4733,5670,
4735,5673,
4748,5687,
4764,5704,4764
4850,5791,
4863,5806,
4950,5894,
4955,5900,
4959,5905,
4964,5912,
4973,5922,
4985,5935,
5000,5951,
5096,6048,5096
5104,6057,
5150,6105,
5196,6152,
5199,6156,
5240,6198,
5241,6200,
5243,6203,
5248,6211,
5250,6216,
5253,6221,
5255,6224,
5267,6237,
5268,6239,
5278,6250,
5280,6253,
5284,6258,
5286,6261,
5287,6263,
5290,6267,
5306,6284,
5336,6315,5336
5356,6336,
5360,6342,
5362,6345,
5367,6351,
5368,6353,
5373,6359,
5375,6362,
5380,6374,
5381,6376,
5382,6378,
5384,6381,
5386,6384,
5388,6388,
5390,6392,
5391,6395,
5393,6398,
