frame_number,original_frame_number,frame_with_full_frame
3148,9983,
3169,10009,
3195,10036,
3196,10040,
3197,10057,
3202,10063,
3203,10077,
3212,10092,
3216,10346,3216
3225,10356,
3236,10368,
3251,10384,
3260,10394,
3272,10407,
3277,10414,
3279,10419,
3281,10425,
3282,10430,
3283,10461,
3306,10486,
3320,10501,3320
3325,10551,
3339,10566,
3340,10568,
3341,10570,
3360,10594,
3367,10602,
3371,10607,
3374,10612,
3378,10624,
3379,10631,
3384,10692,
3385,10694,
3391,10702,
3393,10706,
3394,10708,
3401,10716,
3402,10721,
3403,10723,
3405,10726,
3425,10749,
3428,10760,
3429,10762,
3430,10767,
3444,10782,
3447,10786,
3450,10790,
3453,10794,
3456,10799,
3458,10802,3458
3460,10806,
3463,10810,
3469,10817,
3470,10819,
3476,10826,
3477,10828,
3478,10830,
3480,10834,
3483,10838,
3484,10854,
3485,10859,
3486,10862,
3487,10864,
3488,10866,
3489,10872,
3515,10899,
3516,10922,
3526,10933,
3533,10942,
3534,10944,
3535,10948,
3537,10952,
3549,10965,
3551,10968,
3552,10970,
3553,10972,
3554,10974,
3555,10979,
3556,10983,
3559,10994,
3560,10998,
3564,11004,
3566,11007,
3574,11141,3574
3575,11143,
3576,11145,
3578,11149,
3579,11151,
3585,11158,
3590,11164,
3600,11175,
3609,11185,
3610,11188,
3631,11210,
3640,11221,
3689,11271,
3690,11273,
3712,11296,
3720,11305,
3726,11313,
3729,11317,
3731,11320,
3732,11324,
3733,11327,
3735,11330,
3739,11336,
3741,11341,
3743,11347,
3746,11352,
3748,11356,
3749,11381,
3752,11385,
3756,11393,
3757,11398,
3758,11407,3758
3760,11411,
3766,11419,
3767,11421,
3768,11423,
3769,11445,
3770,11447,
3772,11454,
3773,11456,
3775,11459,
3778,11465,
3791,11479,
3792,11487,
3795,11491,
3807,11504,
3841,11539,
3852,11551,
3890,11590,
3949,11650,
3958,11663,
3959,11665,
3960,11671,
3961,11925,3961
3972,11938,
3985,11995,
3992,12020,3992
4008,12040,
4012,12054,
4031,12074,
4035,12079,
4037,12083,
4040,12089,
4042,12092,
4047,12102,
4050,12107,
4053,12129,
4054,12137,
4060,12144,
4061,12155,
4064,12159,
4069,12166,
4070,12173,
4071,12175,
4074,12179,
4077,12183,
4080,12187,
4081,12190,
4086,12199,
4088,12202,
4091,12207,
4094,12211,
4095,12213,
4096,12215,
4097,12218,
4099,12230,
4100,12236,
4101,12241,
4104,12249,
4105,12274,
4107,12285,
4108,12350,4108
4110,12356,
4111,12358,
4113,12361,
4115,12364,
4116,12366,
4120,12466,
4133,12765,4133
4143,12776,
4146,12799,
4179,12833,
4198,13163,4198
4200,13245,4200
4202,13250,
4204,13259,
4206,13745,4206
4208,13790,
4211,13824,4211
4212,13833,
4213,13835,
4215,13838,
4218,13842,
4220,13853,
4222,13858,
4237,13882,
4248,13904,
4250,13924,
4258,14317,4258
4261,14340,
4265,14345,
4267,14351,
4271,14425,4271
4272,14427,
4273,14430,
4279,14438,
4281,14495,
4284,14548,
4295,14564,
4297,14696,
4302,15151,4302
4307,15157,
4310,15174,
4312,15181,
4316,15187,
4327,15323,4327
4333,15400,
4336,15415,
4339,15420,
4340,15422,
4343,15442,
4346,15446,
4347,15448,
4360,15462,
4378,15482,
4381,15486,
4382,15488,
4385,15492,
4404,15512,
4411,15521,
4420,15531,
4424,15536,
4429,15542,
4431,15545,
4433,15594,
4436,15600,4436
4438,15603,
4440,15656,
4449,15666,
4457,15675,
4458,15677,
4464,15684,
4478,15699,
4484,15706,
4499,15732,
4502,15746,
4526,15771,
4527,15773,
4531,15780,
4532,15783,
4533,15786,
4539,15793,
4543,15798,
4557,15814,
4572,15831,
4575,15840,
4577,15850,
4579,15967,4579
4581,15970,
4584,15985,
4586,16050,
4589,16175,
4601,16188,
4603,16191,
4607,16315,4607
4609,16335,
4610,16338,
4615,16509,4615
4617,16606,
4634,16625,
4642,16634,
4646,16683,
4660,16698,
4664,16704,
4665,16706,
4672,16917,4672
4673,16922,
4675,17021,
4677,17028,
4680,17085,
4682,17162,4682
4697,17179,
4720,17207,
