frame_number,original_frame_number,frame_with_full_frame
1,6,1
3,9,
4,14,
5,21,
7,25,
11,31,
12,36,
14,39,
15,50,
16,71,
19,75,
20,83,
22,87,
23,97,
24,100,
25,102,
26,104,
29,110,
30,112,
31,114,
33,117,
35,125,
36,127,
39,132,
40,136,
178,275,
182,280,
292,391,292
293,397,
295,402,
296,415,
297,417,
298,420,
300,426,
301,428,
302,432,
304,437,
305,439,
307,442,
309,445,
312,449,
314,453,
319,462,
321,465,
325,470,
330,477,
331,479,
332,481,
333,485,
334,487,
337,491,
338,495,
345,504,
348,510,
349,513,
350,515,
351,519,
353,531,
357,552,
358,560,
359,562,
366,570,
367,578,
368,582,
369,590,
371,593,
372,595,
375,599,
376,601,376
377,605,
378,607,
379,610,
380,612,
381,615,
382,624,
383,642,
384,647,
385,652,
386,654,
387,658,
389,661,
391,664,
392,714,
393,721,
398,728,
399,730,
400,736,
403,742,
405,745,
406,747,
409,759,
412,763,
413,767,
414,771,
418,776,
420,779,
421,782,
422,784,
424,788,
427,792,
429,795,
437,804,
438,806,
445,814,
450,820,
470,841,
471,843,
474,847,
476,850,
479,857,
480,861,
483,867,
484,872,
485,875,
488,881,
493,887,
496,891,
499,895,
500,897,
504,904,504
509,910,
511,920,
513,923,
514,925,
517,929,
530,949,
534,955,
538,960,
545,968,
557,981,
558,985,
561,990,
562,992,
571,1002,
610,1042,
617,1055,
621,1064,
622,1068,
623,1071,
624,1073,
625,1076,
639,1091,
641,1094,
655,1110,
659,1117,
672,1131,
675,1135,
676,1137,
677,1139,
678,1141,
685,1149,
686,1154,
688,1157,
700,1170,
707,1178,
712,1185,
744,1218,744
750,1225,
753,1229,
758,1235,
769,1247,
770,1249,
772,1252,
778,1259,
779,1261,
782,1265,
785,1269,
787,1272,
797,1283,
804,1291,
814,1302,
815,1304,
822,1312,
823,1315,
826,1319,
834,1330,
835,1332,
839,1339,
840,1343,
841,1347,
842,1349,
844,1352,
845,1354,
846,1356,
857,1368,
871,1383,
873,1386,
876,1390,
877,1392,
885,1402,
886,1404,
887,1408,
888,1410,
889,1412,
890,1414,
891,1416,
900,1428,
902,1431,
904,1435,
905,1437,
907,1443,
909,1447,
910,1450,
911,1455,
914,1460,
919,1467,
923,1472,
924,1474,
927,1479,
930,1488,
932,1495,
936,1500,936
941,1509,
943,1513,
946,1517,
947,1520,
950,1524,
951,1528,
952,1533,
953,1535,
954,1538,
955,1540,
957,1545,
961,1552,
963,1559,
964,1570,
965,1583,
966,1588,
967,1615,
968,1624,
978,1635,
986,1644,
988,1647,
989,1651,
997,1660,
1002,1667,
1007,1673,
1021,1689,
1024,1693,
1027,1698,
1038,1714,
1040,1719,
1042,1722,
1047,1732,
1048,1736,
1049,1739,
1050,1746,
1051,1748,
1052,1751,
1053,1756,
1054,1761,
1056,1764,
1057,1766,
1060,1771,
1063,1776,
1073,1788,
1077,1795,
1078,1799,
1084,1806,1084
1099,1824,
1101,1827,
1102,1829,
1130,1858,
1174,1903,
1268,1998,
1308,2039,
1334,2067,
1358,2092,
1697,2432,1697
1720,2456,
1727,2464,
1765,2503,
1784,2523,
1788,2528,
1808,2549,
1814,2556,
1823,2566,
1835,2579,
1840,2585,
1846,2592,
1847,2595,
1848,2597,
1850,2600,
1851,2602,
1862,2614,
1863,2616,
1866,2620,
1869,2624,
1870,2627,
1872,2631,
1875,2635,
1876,2637,
1884,2646,
1887,2650,
1888,2652,
1916,2681,
1918,2684,
1920,2689,
1923,2693,
1926,2697,
1927,2699,
1928,2701,1928
1929,2703,
1934,2710,
1937,2715,
1938,2722,
1941,2726,
1958,2747,
1959,2749,
1960,2763,
1963,2767,
1965,2770,
1966,2800,
1967,2822,
1968,2829,
1969,2841,
1970,2850,
1971,2854,
1972,2866,
1973,2873,
1974,2880,
1975,2882,
1978,2887,
1980,2890,
1981,2895,
1983,2899,
1985,2903,
1986,2905,
1987,2941,
1996,2951,
1998,2954,
2001,2958,
2006,2964,
2009,2970,
2012,2975,
2015,2979,
2018,2987,
2019,3027,2019
2020,3032,
2021,3042,
2022,3049,
2025,3053,
2026,3060,
2027,3064,
2028,3073,
2029,3075,
2030,3079,
2031,3117,
2032,3119,
2033,3133,
2035,3136,
2042,3145,
2155,3260,
2165,3272,
2174,3282,
2187,3296,
2193,3303,2193
2216,3329,
2217,3333,
2219,3337,
2224,3343,
2225,3345,
2230,3351,
2231,3353,
2234,3362,
2235,3366,
2236,3368,
2237,3381,
2238,3388,
2240,3393,
2241,3395,
2242,3409,
2244,3414,
2246,3423,
2247,3434,
2249,3437,
2251,3440,
2252,3447,
2255,3451,
2261,3458,
2262,3460,
2263,3462,
2267,3467,
2275,3483,
2291,3500,
2293,3503,
2294,3507,
2300,3514,
2303,3518,
2305,3532,
2306,3541,
2344,3584,
2345,3586,
2348,3590,
2363,3606,2363
2415,3659,
2679,3924,2679
2712,3958,
2727,3974,
2728,3976,
2729,3978,
2730,3980,
2733,3984,
2735,3987,
2736,3989,
2738,3992,
2740,3995,
2745,4001,
2752,4009,
2753,4011,
2782,4041,
2879,4139,
2887,4148,
2926,4188,
2927,4191,
2928,4196,
2930,4208,2930
2931,4214,
2934,4221,
2935,4223,
2936,4225,
2937,4227,
2940,4232,
2941,4234,
2963,4262,
2965,4268,
2966,4270,
2967,4273,
2968,4282,
2970,4287,
2971,4293,
2973,4296,
2976,4303,
2977,4305,
2979,4313,
2980,4321,
2981,4325,
2982,4330,
2983,4335,
2984,4337,
2985,4341,
2986,4343,
2988,4346,
3006,4367,
3007,4369,
3017,4380,
3019,4383,
3021,4386,
3022,4388,
3027,4395,
3031,4401,
3036,4407,
3045,4417,
3046,4419,
3050,4425,
3061,4437,
3066,4444,
3067,4446,
3068,4448,
3071,4452,
3072,4454,
3073,4457,
3076,4463,
3081,4472,
3085,4478,
3086,4481,
3088,4487,
3090,4496,
3091,4504,3091
3094,4509,
3095,4519,
3096,4521,
3098,4526,
3099,4536,
3100,4539,
3101,4541,
3103,4544,
3111,4554,
3117,4561,
3121,4566,
3122,4568,
3128,4575,
3132,4580,
3133,4588,
3135,4591,
3137,4596,
3138,4598,
3139,4600,
3140,4603,
3142,4613,
3143,4618,
3145,4623,
3146,4640,
3147,4642,
3149,4645,
3152,4650,
3153,4656,
3154,4664,
3155,4677,
3157,4690,
3158,4692,
3159,4694,
3161,4699,
3163,4705,
3164,4707,
3170,4716,
3171,4720,
3174,4726,
3176,4729,
3178,4732,
3181,4736,
3183,4739,
3210,4767,
3229,4787,
3234,4793,
3416,4976,3416
3438,4999,
3465,5027,
3466,5029,
3468,5032,
3472,5037,
3477,5043,
3481,5049,
3486,5055,
3506,5077,
3514,5086,
3521,5095,
3525,5100,3525
3540,5116,
3546,5123,
3555,5133,
3571,5151,
3572,5154,
3574,5157,
3576,5160,
3577,5162,
3578,5164,
3586,5173,
3589,5177,
3605,5196,
3610,5202,
3616,5209,
3622,5216,
3623,5218,
3634,5230,
3637,5235,
3639,5238,
3644,5248,
3646,5251,
3647,5254,
3654,5262,
3680,5289,
3686,5296,
3690,5302,
3698,5311,
3703,5317,
3705,5320,
3706,5323,
3709,5330,
3710,5332,
3730,5354,
3732,5360,
3734,5363,
3737,5367,
3738,5370,
3739,5372,
3743,5377,
3752,5387,
3753,5398,
3755,5404,3755
3757,5408,
3758,5412,
3759,5416,
3760,5418,
3762,5421,
3766,5426,
3768,5432,
3769,5437,
3918,5587,
3919,5593,
3924,5599,
3925,5604,
3926,5610,
3927,5612,
3945,5631,
3949,5636,
3960,5648,
3985,5678,
3986,5680,
4095,5790,4095
4107,5803,
4280,5977,
4301,5999,
4304,6004,4304
4338,6040,
4538,6241,
4594,6298,
4599,6304,4599
4606,6313,
4607,6316,
4619,6330,
4629,6342,
4630,6344,
4642,6357,
4648,6364,
4654,6371,
4681,6399,
4704,6423,
4712,6432,
4715,6436,
4717,6439,
4718,6441,
4719,6443,
4722,6450,
4724,6453,
4725,6457,
4744,6477,
4749,6484,
4751,6487,
4752,6490,
4761,6500,
4765,6505,
4771,6512,
4772,6514,
4774,6520,
4785,6532,
4790,6539,
4791,6541,
4795,6546,
4797,6549,
4798,6552,
4799,6554,
4803,6559,
4808,6568,
4809,6571,
4811,6576,
4812,6579,
4814,6582,
4820,6589,
4823,6595,
4825,6601,4825
4829,6607,
4831,6610,
4832,6612,
4833,6615,
4837,6622,
4839,6625,
4840,6627,
4841,6629,
4842,6636,
4843,6640,
4844,6647,
4845,6662,
4847,6668,
4849,6671,
4853,6677,
4857,6683,
4858,6685,
4859,6689,
4862,6695,
4864,6698,
4865,6700,
4868,6714,
4869,6716,
4870,6722,
4874,6727,
4875,6729,
4876,6733,
4877,6739,
4878,6743,
4879,6751,
4881,6754,
4883,6758,
4886,6762,
4899,6777,
4930,6809,
4943,6823,
4947,6828,
4952,6834,
4956,6839,
4957,6841,
4962,6848,
5021,6908,5021
5031,6920,
5089,6979,
5128,7020,
5130,7026,
5131,7029,
5136,7036,
5137,7038,
5139,7041,
5149,7052,
5150,7054,
5158,7064,
5166,7073,
5167,7076,
5169,7079,
5170,7082,
5171,7084,
5174,7088,
5180,7095,
5191,7107,
5194,7112,
5207,7126,
5223,7143,
5229,7151,
5230,7153,
5232,7157,
5233,7159,
5234,7161,
5242,7172,
5243,7174,
5244,7177,
5257,7191,
5260,7195,
5261,7197,
5263,7200,5263
5264,7202,
5265,7204,
5266,7207,
5277,7220,
5302,7246,
5303,7251,
5305,7254,
5308,7259,
5311,7263,
5323,7279,
5379,7336,
5419,7377,
5435,7395,
5436,7397,
5454,7417,
5458,7422,
5462,7427,
5467,7434,
5478,7446,
5522,7491,
5550,7520,5550
5552,7523,
5651,7623,
5673,7646,
5696,7670,
5699,7674,
5702,7678,
5706,7683,
5709,7687,
5712,7691,
5715,7695,
5718,7702,
5721,7706,
5722,7708,
5725,7713,
5730,7719,
5734,7729,
5737,7734,
5738,7736,
5739,7738,
5740,7740,
5741,7742,
5742,7744,
5745,7750,
5749,7758,
5750,7761,
5753,7765,
5754,7769,
5756,7772,
5768,7789,
5773,7795,
5775,7799,
5776,7801,5776
5786,7812,
5787,7814,
5790,7818,
5791,7825,
5792,7827,
5793,7829,
5794,7832,
5798,7837,
5809,7849,
5810,7852,
5812,7855,
5815,7860,
5818,7864,
5819,7867,
5820,7869,
5822,7872,
5826,7877,
5829,7882,
5831,7885,
5839,7894,
5862,7921,
5868,7929,
5871,7934,
5872,7937,
5876,7943,
5881,7949,
5894,7963,
5912,7982,
5921,7992,
5925,7997,
5936,8009,
5940,8014,
5958,8033,
6011,8087,
6022,8099,
6070,8148,6070
6207,8286,
6209,8289,
6212,8293,
6215,8297,
6222,8305,
6224,8312,
6225,8316,
6226,8322,
6229,8326,
6233,8331,
6235,8334,
6236,8337,
6237,8340,
6238,8342,
6239,8344,
6240,8346,
6245,8352,
6248,8356,
6251,8361,
6256,8367,
6259,8372,
6266,8380,
6273,8388,
6300,8416,6300
6306,8424,
6313,8435,
6317,8440,
6321,8447,
6323,8451,
6324,8453,
6325,8457,
6326,8459,
6373,8507,
6381,8516,
6391,8527,
6392,8530,
6394,8534,
6395,8539,
6396,8542,
6400,8549,
6401,8551,
6402,8553,
6406,8561,
6407,8566,
6411,8573,
6413,8579,
6414,8582,
6417,8586,
6419,8591,
6457,8630,
6466,8640,
6470,8645,
6476,8652,
6480,8657,
6495,8673,
6506,8685,
6525,8705,6525
6541,8723,
6542,8725,
6572,8756,
6577,8763,
6585,8773,
6590,8779,
6595,8787,
6596,8790,
6597,8792,
6598,8808,
6600,8811,
6601,8813,
6605,8820,
6606,8828,
6607,8837,
6608,8842,
6609,8847,
6610,8849,
6612,8853,
6613,8865,
6615,8869,
6617,8911,
6619,8917,
6621,8924,
6623,8929,
6626,8933,
6627,8940,
6628,8944,
6629,8946,
6631,8956,
6632,8961,
6633,8963,
6634,8969,
6635,8978,
6636,8980,
6637,8982,
6639,8986,
6642,8993,
6644,9002,6644
6647,9011,
6648,9020,
6649,9027,
6650,9029,
6651,9036,
6652,9041,
6653,9043,
6654,9049,
6687,9083,
6689,9090,
6690,9092,
6691,9096,
6692,9098,
6693,9102,
6697,9110,
6698,9114,
6699,9117,
6700,9121,
6702,9125,
6703,9129,
6704,9131,
6705,9134,
6706,9137,
6708,9146,
6712,9152,
6713,9154,
6714,9157,
6718,9164,
6720,9170,
6721,9184,
6722,9188,
6723,9194,
6724,9202,
6725,9204,
6726,9206,
6729,9210,
6731,9213,
6734,9217,
6736,9220,
6737,9222,
6738,9224,
6742,9229,
6747,9235,
6749,9240,
6751,9244,
6752,9247,
6755,9256,
6756,9262,
6759,9266,
6760,9271,
6761,9274,
6764,9281,
6771,9289,
6786,9305,6786
6791,9311,
6796,9317,
6799,9321,
6803,9326,
6808,9333,
6812,9339,
6814,9343,
6815,9345,
6818,9351,
6819,9353,
6820,9356,
6822,9361,
6837,9377,
6873,9415,
6877,9427,
6881,9432,
6892,9445,
6894,9449,
6895,9455,
6901,9462,
6904,9466,
6905,9468,
6906,9470,
6921,9486,
6922,9488,
6923,9490,
6956,9524,
6957,9526,
6962,9532,
6964,9535,
7011,9583,
7025,9598,
7038,9612,7038
7044,9619,
7069,9645,
7074,9651,
7077,9657,
7080,9662,
7082,9665,
7085,9669,
7086,9672,
7092,9681,
7093,9685,
7094,9689,
7095,9693,
7100,9699,
7102,9705,
7103,9707,
7106,9711,
7110,9717,
7118,9726,
7124,9733,
7125,9735,
7133,9747,
7146,9761,
7151,9767,
7157,9775,
7160,9779,
7161,9781,
7165,9788,
7166,9790,
7167,9802,
7169,9806,
7173,9811,
7183,9822,
7186,9827,
7188,9830,
7189,9832,
7192,9836,
7197,9843,
7200,9847,
7201,9849,
7207,9857,
7209,9860,
7214,9867,
7224,9888,
7228,9894,
7231,9898,
7238,9906,7238
7242,9912,
7245,9916,
7246,9918,
7247,9924,
7250,9930,
7251,9934,
7255,9939,
7256,9942,
7260,9949,
7261,9953,
7267,9961,
7270,9968,
7272,9978,
7280,9987,
7281,9990,
7282,10011,
7287,10017,
7288,10031,
7293,10037,
7296,10042,
7299,10046,
7300,10055,
7301,10065,
7303,10077,
7304,10091,
7305,10093,
7306,10098,
7308,10102,
7311,10109,
7312,10115,
7313,10118,
7315,10123,
7320,10129,
7328,10138,
7356,10169,
7415,10231,7415
7422,10239,
7423,10241,
7426,10245,
7427,10248,
7428,10250,
7433,10256,
7438,10262,
7535,10360,
7561,10387,
7564,10392,
7566,10395,
7568,10402,
7569,10409,
7570,10432,
7572,10435,
7588,10459,
7589,10461,
7594,10467,
7595,10470,
7598,10474,
7603,10480,
7605,10483,
7642,10523,7642
7643,10529,
7644,10533,
7669,10559,
7674,10565,
7678,10572,
7679,10574,
7682,10580,
7690,10589,
7691,10591,
7703,10605,
7704,10607,
7705,10619,
7706,10621,
7707,10623,
7708,10626,
7709,10630,
7710,10632,
7716,10640,
7718,10643,
7719,10645,
7720,10647,
7721,10652,
7726,10659,
7727,10663,
7728,10666,
7730,10670,
7731,10672,
7733,10675,
7739,10682,
7742,10686,
7743,10688,
7751,10697,
7775,10722,
7864,10812,7864
7993,10942,
8008,10958,
8027,10979,
8032,10985,
8036,10992,
8042,10999,
8052,11010,
8059,11018,
8065,11026,
8070,11033,
8073,11037,
8081,11046,
8088,11055,
8089,11057,
8090,11062,
8091,11064,
8092,11066,
8096,11071,
8105,11081,
8108,11085,
8109,11087,
8110,11089,
8112,11092,
8125,11107,8125
8129,11112,
8130,11114,
8133,11118,
8136,11123,
8141,11129,
8150,11139,
8170,11160,
8180,11171,
8221,11213,
8228,11221,
8229,11224,
8230,11226,
8280,11281,
8282,11284,
8283,11287,
8284,11290,
8285,11294,
8286,11296,
8287,11343,
8288,11353,
8289,11356,
8290,11361,
8291,11367,
8293,11370,
8294,11372,
8296,11375,
8298,11382,
8300,11387,
8303,11392,
8304,11395,
8308,11402,8308
8309,11406,
8310,11409,
8312,11414,
8314,11417,
8315,11420,
8316,11422,
8321,11428,
8327,11441,
8329,11444,
8333,11449,
8334,11451,
8335,11453,
8336,11460,
8337,11463,
8338,11466,
8339,11471,
8341,11476,
8343,11480,
8347,11485,
8349,11491,
8350,11495,
8351,11500,
8354,11505,
8357,11518,
8362,11524,
8367,11530,
8370,11536,
8371,11542,
8372,11549,
8381,11559,
8383,11562,
8385,11566,
8386,11568,
8388,11571,
8389,11574,
8390,11579,
8391,11581,
8392,11583,
8393,11585,
8395,11588,
8396,11594,
8397,11606,
8405,11630,
8406,11632,
8409,11637,
8413,11642,
8417,11648,
8418,11651,
8420,11662,
8421,11676,
8422,11693,
8423,11695,
8424,11697,
8425,11721,8425
8429,11727,
8433,11734,
8434,11740,
8436,11747,
8437,11761,
8438,11765,
8440,11772,
8441,11781,
8444,11785,
8445,11792,
8446,11799,
8448,11802,
8450,11805,
8451,11807,
8456,11813,
8460,11818,
8461,11820,
8462,11822,
8463,11825,
8469,11832,
8480,11845,
8485,11851,
8491,11864,
8497,11872,
8556,11932,
8579,11956,
8585,11963,
8586,11966,
8605,11986,
8607,11989,
8608,11991,
8609,11993,
8610,11996,
8611,11998,
8612,12001,8612
8628,12018,
8632,12024,
8635,12031,
8636,12034,
8640,12039,
8669,12069,
8686,12087,
8726,12128,
8738,12141,
8741,12145,
8744,12149,
8748,12154,
8751,12158,
8754,12164,
8755,12166,
8756,12168,
8758,12172,
8760,12175,
8765,12181,
8766,12183,
8767,12187,
8770,12192,
8771,12194,
8772,12196,
8775,12200,
8777,12205,
8778,12208,
8780,12211,
8782,12216,
8783,12218,
8784,12230,
8785,12232,
8787,12235,
8791,12241,
8797,12248,
8801,12253,
8802,12257,
8809,12265,
8812,12270,
8815,12274,
8817,12277,
8819,12280,
8820,12288,
8822,12296,
8823,12298,
8826,12302,8826
8827,12304,
8828,12306,
8829,12309,
8830,12314,
8831,12316,
8838,12325,
8843,12331,
8845,12335,
8846,12338,
8847,12348,
8848,12352,
8850,12356,
8851,12361,
8856,12367,
8857,12370,
8865,12382,
8867,12393,
8871,12398,
8873,12402,
8875,12406,
8878,12410,
8879,12413,
8881,12416,
8885,12424,
8887,12427,
8891,12432,
8894,12436,
8895,12438,
8899,12443,
8903,12448,
