frame_number,original_frame_number,frame_with_full_frame
3070,7385,
3072,7388,
3076,7533,3076
3084,7557,
3087,7564,
3099,7577,
3100,7582,
3101,7584,
3102,7586,
3104,7590,
3105,7592,
3110,7599,
3113,7603,
3122,7613,
3123,7616,
3125,7620,
3126,7622,
3128,7625,
3129,7628,
3131,7631,
3133,7634,
3139,7641,
3149,7652,
3150,7654,
3155,7660,
3158,7664,
3160,7667,
3165,7673,
3166,7726,
3171,8242,3171
3173,8307,
3180,8348,
3182,8361,
3190,8374,
3204,8521,3204
3207,8790,3207
3228,8812,
3231,8816,
3250,8836,
3262,8851,
3263,8855,
3266,8860,
3267,8863,
3274,9287,3274
3279,9293,
3282,9297,
3286,9302,3286
3298,9316,
3308,9327,
3309,9329,
3318,9340,
3320,9345,
3332,9358,
3335,9363,
3338,9367,
3339,9369,
3342,9374,
3383,9416,
3392,9426,
3393,9429,
3400,9438,
3402,9451,
3404,9461,
3417,9478,
3420,9482,
3429,9529,
3463,9584,
3468,9592,
3479,9610,3479
3483,9697,
3533,9765,
3569,9830,
3595,9859,
3598,9893,
3610,9906,3610
3615,9929,
3629,9948,
3635,9957,
3653,9999,
3656,10004,
3684,10038,
3702,10058,
3705,10062,
3706,10064,
3709,10068,
3714,10074,
3716,10077,
3720,10082,
3744,10108,
3745,10112,
3747,10115,
3762,10131,
3772,10142,
3785,10156,
3793,10165,
3794,10169,
3796,10387,3796
3809,10401,
3816,10409,
3817,10411,
3823,10418,
3842,10439,
3847,10445,
3857,10456,
3866,10466,
3869,10470,
3892,10495,
3896,10501,3896
3898,10504,
3900,10509,
3908,10518,
3909,10520,
3910,10523,
3913,10527,
3914,10530,
3922,10539,
3928,10546,
3931,10552,
3932,10554,
3950,10573,
3952,10577,
3961,10587,
3962,10590,
3964,10716,
3979,10735,
4000,10758,
4007,10766,
4013,10775,
4014,10778,
4019,10785,
4029,10796,
4033,10802,4033
4037,10807,
4038,10809,
4061,10833,
4064,10839,
4068,10845,
4069,10847,
4070,10882,
4076,11273,4076
4077,11275,
4081,11280,
4085,11285,
4100,11439,4100
4116,11456,
4119,11460,
4132,12268,4132
4145,12282,
4159,12297,
4169,12308,4169
4179,12319,
4191,12332,
4193,12335,
4207,12350,
4208,12352,
4209,12356,
4214,12362,
4223,12574,
4234,12756,4234
4235,12777,
4236,12791,
4237,12793,
4241,12803,
4242,12808,
4243,12810,
4244,12815,
4245,12831,
4246,12840,
4247,12845,
4248,12852,
4249,12856,
4250,12860,
4251,12865,
