frame_number,original_frame_number,frame_with_full_frame,time_stamp_in_original_video
1,2,1,00:00
107,109,,00:03
120,123,,00:04
121,125,,00:04
183,188,,00:06
186,194,,00:06
188,199,,00:06
189,203,,00:07
192,207,,00:07
198,214,,00:07
211,229,,00:07
221,240,,00:08
227,248,,00:08
230,253,,00:08
233,257,,00:08
237,262,,00:09
238,279,,00:09
243,285,,00:09
261,305,261,00:10
274,319,,00:11
275,329,,00:11
276,336,,00:11
278,339,,00:11
279,342,,00:11
280,347,,00:11
283,351,,00:12
284,353,,00:12
285,355,,00:12
287,358,,00:12
307,379,,00:13
319,392,,00:13
328,402,,00:13
344,419,,00:14
448,524,,00:18
449,526,,00:18
462,540,,00:18
465,544,,00:18
466,546,,00:18
468,566,,00:19
470,569,,00:19
472,575,,00:19
474,579,,00:19
475,582,,00:20
476,584,,00:20
477,587,,00:20
479,600,479,00:20
485,609,,00:21
489,615,,00:21
490,619,,00:21
491,622,,00:21
493,627,,00:21
496,631,,00:21
497,633,,00:21
498,635,,00:21
500,640,,00:22
501,642,,00:22
504,646,,00:22
517,661,,00:22
521,666,,00:22
522,669,,00:23
523,671,,00:23
524,674,,00:23
527,678,,00:23
528,689,,00:23
533,696,,00:24
536,700,,00:24
551,717,,00:24
552,719,,00:24
558,726,,00:25
562,731,,00:25
566,736,,00:25
568,741,,00:25
569,744,,00:25
570,746,,00:25
574,751,,00:25
576,754,,00:26
579,760,,00:26
580,763,,00:26
581,767,,00:26
585,777,,00:26
586,780,,00:26
589,786,,00:27
590,788,,00:27
598,799,,00:27
600,803,,00:27
603,809,,00:27
604,812,,00:28
607,816,,00:28
609,819,,00:28
610,824,,00:28
611,827,,00:28
612,839,,00:28
616,844,,00:29
617,846,,00:29
618,848,,00:29
638,869,,00:29
640,872,,00:30
642,876,,00:30
647,882,,00:30
674,910,674,00:31
675,913,,00:31
712,951,,00:32
729,970,,00:33
799,1041,,00:35
802,1045,,00:36
805,1049,,00:36
807,1052,,00:36
808,1054,,00:36
815,1062,,00:36
820,1069,,00:36
823,1073,,00:37
824,1075,,00:37
830,1082,,00:37
833,1086,,00:37
834,1088,,00:37
848,1104,,00:38
858,1115,,00:38
861,1119,,00:38
867,1126,,00:38
873,1133,,00:39
874,1136,,00:39
876,1143,,00:39
878,1146,,00:39
879,1148,,00:39
880,1152,,00:39
883,1158,,00:39
884,1160,,00:40
885,1162,,00:40
886,1164,,00:40
908,1189,,00:41
909,1192,,00:41
913,1197,,00:41
914,1200,914,00:41
915,1206,,00:41
916,1215,,00:41
917,1230,,00:42
919,1251,,00:43
920,1257,,00:43
929,1267,,00:43
934,1273,,00:43
946,1286,,00:44
964,1305,,00:45
977,1320,,00:45
984,1329,,00:45
985,1334,,00:46
989,1341,,00:46
1004,1358,,00:46
1018,1374,,00:47
1020,1377,,00:47
1021,1380,,00:47
1022,1382,,00:47
1025,1386,,00:47
1031,1393,,00:48
1032,1396,,00:48
1033,1399,,00:48
1036,1405,,00:48
1037,1408,,00:48
1039,1411,,00:48
1040,1413,,00:48
